Ticker,ActualTicker,Country,Index
^GDAXI,GDAXI,Germany,DAX
^MDAXI,MDAXI,Germany,MDAX
^TECDAX,TEXDAX,Germany,TecDAX
^GSPC,GSPC,USA,S&P 500
^NDX,NDX,USA,NASDAQ 100
^GSPTSE,GSPTSE,USA,S&P/TSX Compsite
^BVSP,BVSP,Brazil,name
^FTSE,FTSE,United Kingdom,FTSE
^SSMI,SSMI,Switzerland,name
^IBEX,IBEX,Spain,name
^FCHI,FCHI,France,CAC40
FTSEMIB.MI,FTSEMIB.MI,Italy,name
^N225,N225,Japan,Japan
^HSI,HSI,China,Heng Seng (Hong Kong)
^AORD,AORD,Australia,All Ordinaries
